Geschwindigkeit_kmh,Abstand_m,Kollision
61.8,58.9,0
133.8,183.5,0
106.5,112.9,1
89.8,104.5,0
34.5,5.0,1
34.5,5.0,1
22.3,14.4,0
123.3,151.9,1
90.1,76.0,1
103.5,119.2,0
17.6,10.5,0
136.2,185.0,1
119.1,133.9,1
41.5,31.0,0
37.7,25.7,0
37.9,18.4,0
53.0,51.6,0
80.6,59.3,1
69.0,37.3,1
51.4,24.5,1
91.5,88.2,0
32.4,18.0,0
51.5,29.1,0
60.8,45.5,0
72.0,44.3,1
113.1,147.5,0
40.0,20.1,0
79.3,79.0,0
89.1,87.7,0
20.8,13.9,0
90.9,93.4,0
36.3,22.7,0
23.1,16.8,0
133.6,196.8,0
135.7,191.1,0
116.0,146.8,0
53.1,32.3,0
27.2,26.8,0
100.5,99.3,1
70.0,72.0,0
30.3,13.8,0
76.9,49.8,1
19.3,10.0,0
128.7,163.7,1
47.3,35.8,0
97.8,94.2,1
54.0,29.7,0
80.0,50.1,1
83.3,69.9,0
38.1,5.0,1
136.2,174.7,1
111.9,137.8,0
132.4,188.3,0
126.9,170.2,0
89.7,75.9,1
130.2,174.1,0
26.1,11.8,0
39.5,9.0,1
20.7,24.3,0
55.7,44.8,0
63.6,43.2,0
48.9,29.2,0
118.6,147.7,0
59.6,20.1,1
50.1,27.6,0
82.8,66.8,1
32.6,5.6,1
115.3,135.1,0
24.3,28.9,0
138.4,200.0,0
111.5,123.7,1
39.8,26.6,0
15.7,21.5,0
116.9,151.0,0
103.4,112.4,0
106.1,111.2,1
111.4,136.1,0
24.3,14.8,0
59.8,49.7,0
29.5,20.0,0
122.9,166.5,0
92.9,86.0,1
56.4,49.9,0
22.9,12.2,0
53.9,54.8,0
55.6,29.1,1
106.2,135.1,0
94.7,96.6,0
125.9,157.0,1
74.0,55.0,0
29.9,10.8,0
104.2,117.7,0
110.1,131.4,0
85.2,71.8,1
111.4,128.8,0
76.7,85.3,0
80.3,86.8,0
68.4,56.2,0
18.2,8.7,0
28.5,14.3,0
18.9,14.7,0
94.6,84.2,1
54.3,31.9,0
78.6,50.0,1
128.4,174.0,0
46.2,32.8,0
66.3,44.1,0
109.4,140.5,0
43.6,11.8,1
24.6,5.0,1
51.2,33.5,0
