vibration_mm_s,temperature_celsius,target_y
1.82,56.22,0
1.12,63.69,0
2.2,60.27,0
0.97,54.1,0
2.01,65.65,0
2.39,60.52,0
2.61,48.82,0
3.02,67.84,0
2.35,67.87,0
2.96,58.48,0
1.4,49.78,0
2.51,52.37,0
2.21,63.93,0
2.39,69.03,0
2.39,62.25,0
1.58,73.1,0
2.41,54.73,0
2.08,48.73,0
2.65,48.79,0
2.54,69.23,0
1.59,56.29,0
2.17,59.19,0
2.96,65.52,0
1.81,68.2,0
2.51,48.95,0
2.0,56.04,0
2.08,67.29,0
1.17,58.32,0
2.51,63.64,0
1.48,62.88,0
2.29,62.03,0
2.97,60.8,0
1.11,61.83,0
1.65,65.52,0
2.08,54.49,0
1.25,65.54,0
1.42,68.14,0
2.91,80.39,0
2.07,57.95,0
2.71,49.37,0
1.97,63.17,0
1.51,48.22,0
2.57,62.47,0
1.45,55.99,0
2.05,65.88,0
1.59,64.3,0
2.45,62.69,0
2.74,55.02,0
1.76,59.49,0
2.09,58.78,0
2.82,66.64,0
2.46,58.06,0
1.92,63.04,0
1.06,49.2,0
1.91,58.03,0
2.9,71.76,0
1.04,72.09,0
1.97,62.72,0
2.46,54.3,0
1.18,56.72,0
1.98,50.5,0
1.88,44.21,0
0.9,67.45,0
2.68,63.27,0
2.14,56.84,0
2.69,69.96,0
2.31,68.98,0
1.84,73.54,0
2.49,63.22,0
2.09,48.73,0
1.4,65.2,0
2.68,70.9,0
1.58,62.35,0
3.08,60.98,0
1.64,58.27,0
1.75,60.2,0
2.23,65.39,0
2.13,54.57,0
0.95,50.84,0
2.3,70.7,0
2.15,70.02,0
1.77,48.67,0
1.4,56.12,0
0.9,64.5,0
2.4,57.71,0
2.72,61.38,0
1.91,62.2,0
1.56,62.47,0
1.44,67.27,0
1.09,75.4,0
2.03,51.79,0
2.31,69.08,0
1.83,65.0,0
1.81,56.7,0
2.97,57.58,0
1.88,67.1,0
2.37,52.37,0
1.77,60.88,0
2.35,66.25,0
2.41,53.86,0
1.62,60.62,0
1.1,58.62,0
3.0,63.79,0
1.57,59.41,0
0.3,76.3,0
1.3,62.21,0
1.31,57.38,0
1.86,65.79,0
2.45,63.59,0
2.19,63.42,0
1.63,36.21,0
2.29,47.59,0
1.81,68.43,0
2.38,54.15,0
2.07,67.87,0
2.26,65.62,0
2.23,56.42,0
0.76,49.92,0
2.87,73.49,0
1.98,68.41,0
2.41,64.33,0
1.44,61.25,0
2.68,65.75,0
2.47,59.64,0
1.03,51.11,0
2.24,72.46,0
0.62,52.07,0
2.89,66.97,0
1.68,48.57,0
1.5,61.17,0
2.45,65.44,0
3.9,74.9,0
2.59,55.25,0
1.78,42.65,0
2.15,63.39,0
1.88,43.8,0
1.46,52.84,0
2.28,68.42,0
2.14,55.73,0
2.11,57.62,0
1.7,62.65,0
1.73,43.91,0
1.75,36.91,0
1.85,63.92,0
2.11,55.11,0
2.28,58.8,0
1.95,67.95,0
2.1,54.28,0
1.47,55.98,0
1.38,58.15,0
2.6,62.3,0
1.42,58.46,0
1.97,60.72,0
1.63,49.09,0
1.82,55.59,0
1.68,66.91,0
1.31,59.0,0
1.39,52.02,0
1.8,54.2,0
1.9,57.33,0
1.73,62.41,0
1.59,75.66,0
2.93,60.09,0
1.16,56.83,0
1.47,59.31,0
2.35,55.54,0
2.22,56.1,0
1.6,53.21,0
2.51,63.49,0
2.02,54.59,0
2.29,66.33,0
2.08,55.92,0
2.13,64.09,0
3.21,61.85,0
2.41,63.37,0
1.3,65.54,0
1.66,53.88,0
2.39,55.05,0
2.12,58.65,0
2.16,53.81,0
1.18,64.54,0
1.9,62.71,0
1.83,53.69,0
1.89,58.68,0
2.25,55.48,0
1.8,62.37,0
0.96,55.86,0
1.29,42.77,0
1.53,55.52,0
1.29,42.34,0
2.62,62.17,0
3.19,70.5,0
2.3,65.47,0
1.13,67.37,0
1.78,51.19,0
2.23,68.06,0
1.92,77.45,0
1.63,50.32,0
2.28,77.47,0
1.58,66.97,0
2.97,66.85,0
1.98,60.21,0
1.97,65.94,0
2.55,65.9,0
1.75,61.86,0
2.1,49.9,0
2.23,75.97,0
2.13,54.15,0
1.24,50.97,0
1.43,53.03,0
0.38,56.11,0
1.75,66.46,0
1.18,62.93,0
2.19,69.45,0
2.18,44.54,0
3.32,57.01,0
1.85,65.3,0
1.27,51.07,0
1.77,42.93,0
2.81,70.27,0
1.83,57.45,0
2.99,72.36,0
2.35,71.47,0
2.19,52.97,0
2.64,57.83,0
1.67,65.22,0
2.27,68.66,0
2.55,59.27,0
2.44,55.43,0
2.71,57.37,0
1.07,48.0,0
2.24,65.42,0
2.14,59.58,0
1.43,60.03,0
2.47,60.37,0
3.0,50.06,0
2.19,76.31,0
1.33,48.55,0
1.61,58.0,0
0.14,46.59,0
2.42,55.96,0
